School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
OUR LADY OF FATIMA SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,28,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"3301 W DRAVUS ST
SEATTLE
(47.648614, -122.3995521)"
BOW LAKE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,90,86.7,6.7,2.2,4.4,3.3,2.2,0,0,95.6,100,100,95.6,97.8,97.8,"18237 42ND AVE S
SEATAC
(47.4389839, -122.2822826)"
KENT ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,97,39.2,3.1,57.7,0,0,0,0,0,44.3,46.4,95.9,97.9,96.9,93.8,"24700 64TH AVENUE SOUTH
KENT
(47.380299, -122.2518081)"
CASCADE VISTA BAPTIST SCHOOL,PRIVATE SCHOOL,2016-17,N,FEDERAL WAY SCHOOL DISTRICT,PK-12,0,,,,,,,,,,,,,,,"11517 SE 208TH ST
KENT
(47.4153016, -122.1874515)"
MEADOW RIDGE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,49,85.7,2,8.2,4.1,0,4.1,0,0,85.7,89.8,98,95.9,98,95.9,"27710 108TH AVE SE
KENT
(47.3532534, -122.1957428)"
BELLEVUE CHRISTIAN MACK ELEMENTARY,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-6,19,89.5,0,0,10.5,5.3,10.5,0,0,89.5,89.5,94.7,94.7,94.7,94.7,"18250 168TH PL NE
WOODINVILLE
(47.7589451, -122.1138803)"
ETON SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,11,72.7,18.2,0,9.1,0,0,9.1,0,72.7,90.9,90.9,90.9,90.9,90.9,"2701 BEL-RED RD
BELLEVUE
(47.634557, -122.128355)"
NORTHWEST FREE SCHOOL,PRIVATE SCHOOL,2016-17,N,RENTON SCHOOL DISTRICT,K-8,0,,,,,,,,,,,,,,,"1427 QUEEN AVE NE
RENTON
(47.5052949, -122.171086)"
MADRONA ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,85,75.3,24.7,0,0,0,0,0,0,95.3,95.3,95.3,95.3,96.5,92.9,"20301 32ND AVENUE SOUTH
SEATAC
(47.4203342, -122.2934237)"
CHRISTIAN FAITH SCHOOL,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,P-12,22,90.9,0,0,9.1,0,9.1,0,0,90.9,90.9,90.9,90.9,90.9,90.9,"33645 20TH AVE S
FEDERAL WAY
(47.298869, -122.309202)"
ST. ANNE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,28,92.9,0,0,7.1,7.1,0,0,0,100,100,100,92.9,92.9,100,"101 W LEE ST
SEATTLE
(47.6311129, -122.3582591)"
SECONDARY LEARNING CENTER,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"7800 S 132ND ST
SEATTLE
(47.4854093, -122.2364939)"
HIGHLAND MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-8,146,71.2,0.7,17.8,10.3,0.7,9.6,0,0,80.8,80.8,94.5,96.6,93.2,89.7,"15027 NE BEL-RED ROAD
BELLEVUE
(47.6265678, -122.1401995)"
GEORGE T. DANIEL ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,62,61.3,3.2,33.9,1.6,0,1.6,0,0,61.3,69.4,96.8,93.5,93.5,95.2,"11310 SE 248TH ST
KENT
(47.3804243, -122.1901757)"
RAINIER CHRISTIAN SCHOOLS-MAPLE VALLEY ELEMENTARY,PRIVATE SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,P-6,10,70,10,10,10,0,10,0,0,80,80,80,80,90,80,"16700 174TH AVE SE
RENTON
(47.4529049, -122.1116145)"
SALMON BAY K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K -8,119,67.2,0,16.8,16,6.7,16,0,0,79.8,79.8,90.8,90.8,81.5,82.4,"1810 NW 65 ST
SEATTLE
(47.6766893, -122.3805804)"
HOLLYWOOD HILL ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,48,89.6,0,2.1,8.3,2.1,8.3,0,0,91.7,91.7,91.7,91.7,91.7,89.6,"17110 148 AV NE
WOODINVILLE
(47.7517748, -122.1391508)"
CHILD SCHOOL-NEW HEIGHTS SCHOOL AT CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES (CHILD),PRIVATE SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,P-12,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"4030 86TH AVE SE
MERCER ISLAND
(47.5734618, -122.2233855)"
WHITE CENTER HEIGHTS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,70,85.7,0,14.3,0,0,0,0,0,87.1,87.1,98.6,98.6,98.6,98.6,"10015 6TH AVENUE SOUTHWEST
SEATTLE
(47.5131739, -122.3438579)"
CANYON CREEK ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,116,83.6,0,14.7,1.7,0.9,1.7,0,0,85.3,85.3,95.7,97.4,96.6,96.6,"21400 35 AV SE
BOTHELL
(47.8046207, -122.1868588)"
ST. GEORGE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,28,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"5117 13TH AVE S
SEATTLE
(47.5559353, -122.3164289)"
MERIDIAN ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,94,91.5,1.1,5.3,2.1,0,2.1,0,0,92.6,93.6,97.9,97.9,100,95.7,"25621 140TH AVE SE
KENT
(47.3718518, -122.1556746)"
OVERLAKE SCHOOL,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,5-12,64,96.9,0,0,3.1,0,3.1,0,0,96.9,96.9,98.4,100,100,98.4,"20301 NE 108TH ST
REDMOND
(47.6950679, -122.0738071)"
DES MOINES ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K -6,48,91.7,0,8.3,0,0,0,0,0,93.8,93.8,100,100,100,97.9,"22001 9TH AVE S
DES MOINES
(47.404714, -122.323188)"
ILLAHEE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,5-8,238,39.5,0,55.9,4.6,1.3,2.9,0,0.4,41.6,41.6,97.5,96.2,97.9,94.1,"36001 1ST AVE S
FEDERAL WAY
(47.277515, -122.336994)"
NEW HORIZON SCHOOL,PRIVATE SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,5-12,0,,,,,,,,,,,,,,,"1111 S CARR RD
RENTON
(47.441906, -122.203981)"
LICTON SPRINGS K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-8,10,50,0,40,10,0,10,0,0,50,50,90,90,90,90,"11530 12 AV NE
SEATTLE
(47.713357, -122.314525)"
BROOKLAKE CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,P-6,0,,,,,,,,,,,,,,,"629 S 356TH ST
FEDERAL WAY
(47.2825602, -122.3253252)"
BEAVER LAKE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,6-8,283,94.3,1.4,0.7,3.5,0,2.8,0.7,0,97.5,97.5,97.9,97.9,97.2,96.8,"25025 SE 32ND ST
ISSAQUAH
(47.5800972, -122.0056888)"
SOUND PREPARATORY ACADEMY (FORMERLY XCEED PREPARATORY SCHOOL 2016),PRIVATE SCHOOL,2016-17,N,FEDERAL WAY SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"30168 25TH AVE SW
FEDERAL WAY
(47.331459, -122.3651)"
EVERGREEN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,404,88.6,0.5,6.9,4,1.2,3.2,0,0,91.6,91.6,98,98.3,97.8,96.8,"6900 208TH AVE NE
REDMOND
(47.6676596, -122.0607004)"
TOLT MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,RIVERVIEW SCHOOL DISTRICT,6-8,275,82.9,0,8.7,8.4,0.7,7.6,0,0,86.9,87.6,95.3,94.5,94.2,93.1,"3740 TOLT AVE
CARNATION
(47.6422386, -121.9138274)"
ISSAQUAH MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,6-8,336,96.1,0.3,0,3.6,0.9,3,0,0,97.6,97.9,97.9,97.6,97,97.6,"400 1ST AVE SE
ISSAQUAH
(47.5271146, -122.0347715)"
EAST HILL ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,69,79.7,0,17.4,2.9,1.4,1.4,0,0,79.7,79.7,97.1,97.1,98.6,97.1,"9825 S 240TH ST
KENT
(47.3861389, -122.209344)"
SHOREWOOD CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,P-12,5,0,0,100,0,0,0,0,0,100,100,100,100,100,100,"10300 28TH AVE SW
SEATTLE
(47.5107534, -122.3676691)"
SPRING ACADEMY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,0,,,,,,,,,,,,,,,"113045 8TH AVE NE
SEATTLE
(47.689308, -122.320301)"
RENAISSANCE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,30,66.7,0,30,3.3,0,3.3,0,0,66.7,66.7,100,96.7,100,100,"4000 228TH NE
SAMMAMISH
(47.613601, -122.0317461)"
ST. VINCENT DE PAUL SCHOOL,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,K-8,26,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"30527 8TH AVE S
FEDERAL WAY
(47.327577, -122.3249779)"
FEDERAL WAY PUBLIC ACADEMY,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-10,64,39.1,0,56.3,4.7,1.6,3.1,0,0,45.3,45.3,98.4,100,100,96.9,"34620 9TH AV S
FEDERAL WAY
(47.2913078, -122.322111)"
ROSE HILL MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,262,84.4,0,8.8,6.9,1.5,5.7,0.4,0,88.5,89.7,96.6,97.3,94.7,95.4,"13505 NE 75TH
REDMOND
(47.6701908, -122.1593152)"
THREE TREE MONTESSORI,PRIVATE SCHOOL,2016-17,N,HIGHLINE SCHOOL DISTRICT,P-6,0,,,,,,,,,,,,,,,"220 SW 160TH ST
BURIEN
(47.460198, -122.336812)"
MCKNIGHT MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,6-8,434,95.2,0.5,1.8,2.5,0.9,1.4,0.2,0,97,97.2,99.1,99.5,99.1,98.2,"1200 EDMONDS AVE NE
RENTON
(47.5030448, -122.185572)"
WELLINGTON ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,79,93.7,0,0,6.3,1.3,3.8,1.3,0,94.9,94.9,97.5,97.5,96.2,97.5,"16501 NE 195 ST
WOODINVILLE
(47.7687236, -122.1194343)"
CEDAR VALLEY ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,46,89.1,0,6.5,4.3,0,2.2,2.2,0,91.3,91.3,95.7,97.8,95.7,95.7,"26500 TIMBERLANE WAY SE
KENT
(47.3652109, -122.0864752)"
NAUTILUS K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,K -8,31,61.3,0,35.5,3.2,0,3.2,0,0,61.3,61.3,96.8,96.8,96.8,96.8,"1000 S 289TH ST
FEDERAL WAY
(47.342512, -122.322628)"
ST. LOUISE SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,46,97.8,0,0,2.2,0,2.2,0,0,100,100,100,97.8,97.8,97.8,"133 156TH AVE SE
BELLEVUE
(47.608923, -122.1339151)"
MARTIN SORTUN ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,106,91.5,0,5.7,2.8,0,2.8,0,0,91.5,91.5,99.1,99.1,99.1,98.1,"12711 SE 248TH ST
KENT
(47.3783768, -122.1715992)"
CASCADE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,6-8,252,84.1,0.4,11.5,4,1.2,2.4,0.4,0.4,87.3,87.3,98,97.2,98,100,"1015 24TH ST NE
AUBURN
(47.3291386, -122.2157768)"
DARTMOOR SCHOOL--ISSAQUAH,PRIVATE SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,1-12,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"22500 SE 64TH PL #130
ISSAQUAH
(47.5441035, -122.0403106)"
PACIFIC LEARNING CENTER NW,PRIVATE SCHOOL,2016-17,Y,EDMONDS SCHOOL DISTRICT,K-12,5,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"14550 WESTMINSTER WAY
SHORELINE
(47.735345, -122.354146)"
OUR LADY OF GUADALUPE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K+,21,0,0,100,0,0,0,0,0,0,85.7,85.7,85.7,81,85.7,"3401 SW MYRTLE ST
SEATTLE
(47.5387897, -122.3756505)"
BRIGHTMONT ACADEMY--BELLEVUE CAMPUS,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-12,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"12360 NE 8TH ST SUITE 210
BELLEVUE
(47.6176776, -122.1753923)"
STELLA SCHOLA,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,30,90,0,0,10,6.7,0,3.3,0,96.7,96.7,93.3,96.7,96.7,90,"13505 NE 75TH STREET
REDMOND
(47.6701908, -122.1593152)"
WHITMAN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,286,51.4,0,42,6.6,3.1,5.9,0,0,57.3,57.3,93,92.3,91.3,88.8,"9201 15 AV NW
SEATTLE
(47.6965669, -122.3777192)"
RENTON PREPARATORY CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,3-10,24,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"200 MILL AVE S SUITE 100
RENTON
(47.481221, -122.201787)"
HOLY FAMILY SCHOOL,PRIVATE SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,P-8,16,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"505 17TH ST SE
AUBURN
(47.294004, -122.223101)"
SNO-KING ACADEMY,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,3-12,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"19741 53RD AVE NE
LAKE FOREST PARK
(47.772473, -122.274335)"
ARBOR SCHOOLS,PRIVATE SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,P-9,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1107 228TH AVE SE
SAMMAMISH
(47.5996923, -122.0361285)"
TWIN FALLS MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,6-8,258,79.8,0,10.5,9.7,0.8,8.9,0,0,83.3,83.7,93,93,93.4,91.5,"46910 S.E. MIDDLE FORK ROAD
NORTH BEND
(47.47445, -121.713679)"
KENMORE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,73,93.2,0,2.7,4.1,0,4.1,0,0,94.5,94.5,95.9,97.3,97.3,95.9,"19121 71 AV NE
KENMORE
(47.7675012, -122.2438557)"
LAKE YOUNGS ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,75,85.3,0,6.7,8,0,6.7,1.3,1.3,88,89.3,97.3,98.7,97.3,96,"19660 142ND AVE SE
KENT
(47.4261323, -122.1528367)"
ST. PAUL SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,23,69.6,26.1,4.3,0,0,0,0,0,69.6,69.6,95.7,95.7,95.7,95.7,"10001 57TH AVE S
SEATTLE
(47.5105328, -122.2626654)"
FAIRVIEW CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,P-8,0,,,,,,,,,,,,,,,"844 NE 78TH ST
SEATTLE
(47.6856596, -122.3183179)"
PARKWOOD ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,49,95.9,0,0,4.1,2,2,0,0,98,98,100,100,98,100,"1815 N. 155TH STREET
SHORELINE
(47.7401965, -122.3363933)"
HAMILTON INTERNATIONAL MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,419,80.7,0.2,9.8,9.3,4.3,6.7,0,0,87.6,87.6,96.7,95.7,92.6,91.9,"4400 INTERLAKE AVE N
SEATTLE
(47.6599142, -122.3400034)"
THE LAKE AND PARK SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,P-8,0,,,,,,,,,,,,,,,"3201 HUNTER BLVD S
SEATTLE
(47.575011, -122.285455)"
KIRKLAND MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,225,81.8,0,12,6.2,0.9,5.8,0,0,84.9,85.3,95.1,95.6,96.4,93.8,"430 18TH AVE
KIRKLAND
(47.690528, -122.199663)"
COVINGTON ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,73,74,0,21.9,4.1,1.4,2.7,0,0,76.7,76.7,97.3,98.6,97.3,98.6,"17070 SE WAX ROAD
COVINGTON
(47.353996, -122.1144864)"
BLOSSOMING HILL MONTESSORI,PRIVATE SCHOOL,2016-17,Y,TAHOMA SCHOOL DISTRICT,P-6,2,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"23855 SE 216TH ST
MAPLE VALLEY
(47.4079404, -122.0218838)"
MONTESSORI CHILDREN'S HOUSE,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,P-6,2,50,0,0,50,0,50,0,0,50,50,50,50,50,50,"5003 218TH AVE NE
REDMOND
(47.6534983, -122.0493895)"
PRIVETT ACADEMY,PRIVATE SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"9311 SE 36TH ST
MERCER ISLAND
(47.5776669, -122.2128561)"
EMERALD PARK ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,58,93.1,0,3.4,3.4,0,3.4,0,0,93.1,93.1,100,100,100,100,"11800 SE 216TH ST
KENT
(47.4097321, -122.1831469)"
EASTSIDE PREPARATORY SCHOOL,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,5-12,54,92.6,0,0,7.4,0,7.4,0,0,98.1,98.1,98.1,98.1,92.6,96.3,"10635 NE 38TH PL
KIRKLAND
(47.644026, -122.1985355)"
ODLE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-8,326,49.1,0,43.6,7.4,1.5,5.8,0,0,53.7,53.7,93.6,94.2,92.3,91.1,"14401 NE 8TH STREET
BELLEVUE
(47.6153448, -122.1493222)"
TAHOMA MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,TAHOMA SCHOOL DISTRICT,6-7,283,83,0.7,12.4,3.9,1.1,2.8,0.4,0,84.8,85.5,97.2,96.8,96.1,95.1,"24425 SE 216TH ST
MAPLE VALLEY
(47.4077058, -122.0136711)"
GRASS LAKE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,63,87.3,1.6,7.9,3.2,0,3.2,0,0,87.3,88.9,98.4,98.4,98.4,96.8,"28700 191ST PLACE SE
KENT
(47.3445729, -122.087333)"
HOPE ACADEMY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-8,10,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"9421 18TH AVE SW
SEATTLE
(47.518579, -122.358282)"
ST. BRENDAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-8,14,78.6,14.3,7.1,0,0,0,0,0,78.6,78.6,100,100,100,100,"10049 NE 195TH ST
BOTHELL
(47.768792, -122.2051473)"
SEATTLE NATIVITY SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,15,80,0,20,0,0,0,0,0,93.3,100,100,93.3,93.3,100,"2800 S MASSACHUSETTS ST
SEATTLE
(47.588861, -122.2965335)"
JENKINS CREEK ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,55,80,0,9.1,10.9,0,10.9,0,0,83.6,83.6,94.5,96.4,96.4,90.9,"26915 186TH AVE SE
COVINGTON
(47.3604257, -122.0938865)"
FERNWOOD ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,139,80.6,0,14.4,5,0,5,0,0,84.2,84.2,99.3,98.6,95.7,95.7,"3933 JEWELL RD
BOTHELL
(47.819456, -122.179396)"
WOODMONT ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,K -8,31,58.1,0,41.9,0,0,0,0,0,58.1,58.1,96.8,100,93.5,96.8,"26454 16TH AV S
DES MOINES
(47.363347, -122.311816)"
SACAJAWEA MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,216,58.8,0,39.4,1.9,0.5,1.4,0.5,0,59.7,59.7,93.5,100,92.6,92.6,"1101 S DASH POINT RD
FEDERAL WAY
(47.3342157, -122.3181663)"
SEATTLE ACADEMY OF ARTS/SCIENCES,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,0,,,,,,,,,,,,,,,"1201 E UNION ST
SEATTLE
(47.612666, -122.316396)"
SEQUOYAH MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,173,61.8,0,31.8,6.4,1.7,3.5,0.6,0.6,66.5,66.5,95.4,95.4,96,92.5,"3425 S 360TH ST
AUBURN
(47.277937, -122.288405)"
HIGHLAND TERRACE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,62,90.3,0,0,9.7,1.6,9.7,0,0,95.2,95.2,93.5,93.5,95.2,100,"100 N. 160TH STREET
SHORELINE
(47.7459139, -122.3596164)"
